District_Name,Crop_Year,Season,Crop,Area,Production,Actual_Rainfall,pH_min,pH_max,pH_min_Range,pH_max_Range
AHMEDNAGAR,2004,Kharif,Arhar/Tur,12200.0,4800.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Bajra,240500.0,143400.0,649.0,7.0,7.5,6.0,7.0
AHMEDNAGAR,2004,Kharif,Groundnut,5300.0,3900.0,649.0,7.0,7.5,5.5,7.0
AHMEDNAGAR,2004,Kharif,Jowar,100.0,100.0,649.0,7.0,7.5,6.0,7.5
AHMEDNAGAR,2004,Kharif,Maize,11400.0,14000.0,649.0,7.0,7.5,5.8,6.8
AHMEDNAGAR,2004,Kharif,Moong(Green Gram),13100.0,4300.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Niger seed,2500.0,800.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Other Cereals & Millets,2900.0,1000.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Other Kharif pulses,16300.0,4100.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,other oilseeds,500.0,200.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Ragi,3000.0,2400.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Rice,8000.0,5800.0,649.0,7.0,7.5,5.5,7.0
AHMEDNAGAR,2004,Kharif,Sesamum,1100.0,400.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Kharif,Sunflower,11000.0,5800.0,649.0,7.0,7.5,6.0,7.5
AHMEDNAGAR,2004,Kharif,Urad,5000.0,3100.0,649.0,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Gram,61700.0,40900.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Jowar,555000.0,263300.0,73.3,7.0,7.5,6.0,7.5
AHMEDNAGAR,2004,Rabi,Linseed,1100.0,200.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Maize,10900.0,22100.0,73.3,7.0,7.5,5.8,6.8
AHMEDNAGAR,2004,Rabi,Other  Rabi pulses,300.0,100.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Other Cereals & Millets,900.0,200.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Rapeseed &Mustard,200.0,0.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Safflower,20800.0,12400.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Sesamum,100.0,0.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Soyabean,35500.0,51800.0,73.3,7.0,7.5,,
AHMEDNAGAR,2004,Rabi,Sunflower,2600.0,1500.0,73.3,7.0,7.5,6.0,7.5
AHMEDNAGAR,2004,Rabi,Wheat,89300.0,154600.0,73.3,7.0,7.5,5.5,6.5
AHMEDNAGAR,2004,Summer,Groundnut,9500.0,11700.0,17.1,7.0,7.5,5.5,7.0
AHMEDNAGAR,2004,Summer,Maize,3100.0,4300.0,17.1,7.0,7.5,5.8,6.8
AHMEDNAGAR,2004,Summer,Sunflower,100.0,100.0,17.1,7.0,7.5,6.0,7.5
AHMEDNAGAR,2004,Whole Year,Cotton,15900.0,26700.0,678.3,7.0,7.5,5.8,8.0
AHMEDNAGAR,2004,Whole Year,Sugarcane,17000.0,1001800.0,678.3,7.0,7.5,5.0,8.5
AHMEDNAGAR,2005,Kharif,Arhar/Tur,11100.0,3800.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Bajra,217700.0,54800.0,638.1,7.0,7.5,6.0,7.0
AHMEDNAGAR,2005,Kharif,Castor seed,400.0,100.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Cotton,16600.0,22800.0,638.1,7.0,7.5,5.8,8.0
AHMEDNAGAR,2005,Kharif,Groundnut,4900.0,2400.0,638.1,7.0,7.5,5.5,7.0
AHMEDNAGAR,2005,Kharif,Moong(Green Gram),8700.0,2400.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Niger seed,2300.0,700.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Ragi,2900.0,2300.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Rice,800.0,400.0,638.1,7.0,7.5,5.5,7.0
AHMEDNAGAR,2005,Kharif,Sesamum,1000.0,200.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Soyabean,37500.0,38800.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Kharif,Sugarcane,56600.0,4395300.0,638.1,7.0,7.5,5.0,8.5
AHMEDNAGAR,2005,Kharif,Sunflower,10100.0,5900.0,638.1,7.0,7.5,6.0,7.5
AHMEDNAGAR,2005,Kharif,Urad,3700.0,1300.0,638.1,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Gram,68600.0,47100.0,114.9,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Linseed,1200.0,400.0,114.9,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Rapeseed &Mustard,300.0,100.0,114.9,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Safflower,21000.0,7200.0,114.9,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Sesamum,100.0,100.0,114.9,7.0,7.5,,
AHMEDNAGAR,2005,Rabi,Sunflower,2500.0,1000.0,114.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2005,Rabi,Wheat,103100.0,153800.0,114.9,7.0,7.5,5.5,6.5
AHMEDNAGAR,2005,Summer,Groundnut,9500.0,16200.0,2.6,7.0,7.5,5.5,7.0
AHMEDNAGAR,2005,Summer,Sunflower,100.0,100.0,2.6,7.0,7.5,6.0,7.5
AHMEDNAGAR,2006,Kharif,Arhar/Tur,13000.0,6600.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Bajra,243900.0,148900.0,763.7,7.0,7.5,6.0,7.0
AHMEDNAGAR,2006,Kharif,Cotton,20600.0,36500.0,763.7,7.0,7.5,5.8,8.0
AHMEDNAGAR,2006,Kharif,Groundnut,6100.0,4800.0,763.7,7.0,7.5,5.5,7.0
AHMEDNAGAR,2006,Kharif,Jowar,100.0,100.0,763.7,7.0,7.5,6.0,7.5
AHMEDNAGAR,2006,Kharif,Maize,17900.0,42400.0,763.7,7.0,7.5,5.8,6.8
AHMEDNAGAR,2006,Kharif,Moong(Green Gram),16700.0,9900.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Niger seed,2700.0,700.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Ragi,3100.0,2100.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Rice,8400.0,6600.0,763.7,7.0,7.5,5.5,7.0
AHMEDNAGAR,2006,Kharif,Sesamum,900.0,200.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Soyabean,49000.0,64500.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Kharif,Sunflower,11800.0,6000.0,763.7,7.0,7.5,6.0,7.5
AHMEDNAGAR,2006,Kharif,Urad,6100.0,2400.0,763.7,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Gram,95800.0,65700.0,71.2,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Jowar,528400.0,274000.0,71.2,7.0,7.5,6.0,7.5
AHMEDNAGAR,2006,Rabi,Linseed,1000.0,300.0,71.2,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Maize,15300.0,20000.0,71.2,7.0,7.5,5.8,6.8
AHMEDNAGAR,2006,Rabi,Rapeseed &Mustard,100.0,25.0,71.2,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Safflower,17100.0,9300.0,71.2,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Sesamum,100.0,100.0,71.2,7.0,7.5,,
AHMEDNAGAR,2006,Rabi,Sunflower,2800.0,1100.0,71.2,7.0,7.5,6.0,7.5
AHMEDNAGAR,2006,Rabi,Wheat,153900.0,248100.0,71.2,7.0,7.5,5.5,6.5
AHMEDNAGAR,2006,Summer,Groundnut,8300.0,13100.0,8.1,7.0,7.5,5.5,7.0
AHMEDNAGAR,2006,Summer,Maize,1200.0,1800.0,8.1,7.0,7.5,5.8,6.8
AHMEDNAGAR,2006,Summer,Sunflower,100.0,100.0,8.1,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Kharif,Arhar/Tur,146.0,79.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Bajra,2326.0,1741.0,591.2,7.0,7.5,6.0,7.0
AHMEDNAGAR,2007,Kharif,Castor seed,4.0,1.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Cotton,400.0,821.0,591.2,7.0,7.5,5.8,8.0
AHMEDNAGAR,2007,Kharif,Groundnut,61.0,54.0,591.2,7.0,7.5,5.5,7.0
AHMEDNAGAR,2007,Kharif,Jowar,1.0,1.0,591.2,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Kharif,Maize,236.0,735.0,591.2,7.0,7.5,5.8,6.8
AHMEDNAGAR,2007,Kharif,Moong(Green Gram),210.0,144.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Ragi,26.0,23.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Rice,86.0,102.0,591.2,7.0,7.5,5.5,7.0
AHMEDNAGAR,2007,Kharif,Sesamum,8.0,3.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Soyabean,554.0,845.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Kharif,Sunflower,94.0,69.0,591.2,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Kharif,Urad,93.0,36.0,591.2,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Gram,873.0,603.0,51.9,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Jowar,5034.0,2840.0,51.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Rabi,Linseed,11.0,3.0,51.9,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Maize,125.0,274.0,51.9,7.0,7.5,5.8,6.8
AHMEDNAGAR,2007,Rabi,Rapeseed &Mustard,2.0,1.0,51.9,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Safflower,146.0,87.0,51.9,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Sesamum,1.0,1.0,51.9,7.0,7.5,,
AHMEDNAGAR,2007,Rabi,Sunflower,25.0,29.0,51.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Rabi,Wheat,1309.0,2711.0,51.9,7.0,7.5,5.5,6.5
AHMEDNAGAR,2007,Summer,Groundnut,26.0,40.0,0.0,7.0,7.5,5.5,7.0
AHMEDNAGAR,2007,Summer,Maize,11.0,16.0,0.0,7.0,7.5,5.8,6.8
AHMEDNAGAR,2007,Summer,Sunflower,1.0,1.0,0.0,7.0,7.5,6.0,7.5
AHMEDNAGAR,2007,Whole Year,Sugarcane,1333.0,103974.0,591.2,7.0,7.5,5.0,8.5
AHMEDNAGAR,2008,Kharif,Arhar/Tur,2700.0,1200.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Bajra,128200.0,92400.0,591.6,7.0,7.5,6.0,7.0
AHMEDNAGAR,2008,Kharif,Castor seed,100.0,25.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Cotton,59300.0,93300.0,591.6,7.0,7.5,5.8,8.0
AHMEDNAGAR,2008,Kharif,Groundnut,2600.0,2200.0,591.6,7.0,7.5,5.5,7.0
AHMEDNAGAR,2008,Kharif,Jowar,100.0,100.0,591.6,7.0,7.5,6.0,7.5
AHMEDNAGAR,2008,Kharif,Maize,22100.0,69500.0,591.6,7.0,7.5,5.8,6.8
AHMEDNAGAR,2008,Kharif,Moong(Green Gram),600.0,100.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Niger seed,1400.0,400.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Ragi,2600.0,2600.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Rice,9300.0,9100.0,591.6,7.0,7.5,5.5,7.0
AHMEDNAGAR,2008,Kharif,Sesamum,100.0,100.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Soyabean,55500.0,40100.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Kharif,Sugarcane,77500.0,5564800.0,591.6,7.0,7.5,5.0,8.5
AHMEDNAGAR,2008,Kharif,Sunflower,3900.0,2100.0,591.6,7.0,7.5,6.0,7.5
AHMEDNAGAR,2008,Kharif,Urad,600.0,200.0,591.6,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Gram,90500.0,65700.0,53.9,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Jowar,507200.0,327800.0,53.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2008,Rabi,Linseed,600.0,100.0,53.9,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Maize,102.0,280.0,53.9,7.0,7.5,5.8,6.8
AHMEDNAGAR,2008,Rabi,Rapeseed &Mustard,100.0,10.0,53.9,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Safflower,11100.0,7000.0,53.9,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Sesamum,100.0,100.0,53.9,7.0,7.5,,
AHMEDNAGAR,2008,Rabi,Sunflower,2500.0,1700.0,53.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2008,Rabi,Wheat,138200.0,219200.0,53.9,7.0,7.5,5.5,6.5
AHMEDNAGAR,2008,Whole Year,Sugarcane,77500.0,5564800.0,648.9,7.0,7.5,5.0,8.5
AHMEDNAGAR,2009,Kharif,Arhar/Tur,12100.0,6200.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Bajra,190700.0,115400.0,521.3,7.0,7.5,6.0,7.0
AHMEDNAGAR,2009,Kharif,Castor seed,100.0,18.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Cotton,82700.0,125100.0,521.3,7.0,7.5,5.8,8.0
AHMEDNAGAR,2009,Kharif,Groundnut,3600.0,2700.0,521.3,7.0,7.5,5.5,7.0
AHMEDNAGAR,2009,Kharif,Maize,38500.0,110300.0,521.3,7.0,7.5,5.8,6.8
AHMEDNAGAR,2009,Kharif,Moong(Green Gram),12800.0,7800.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Niger seed,1900.0,500.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Ragi,2600.0,1700.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Rice,7400.0,2800.0,521.3,7.0,7.5,5.5,7.0
AHMEDNAGAR,2009,Kharif,Sesamum,300.0,20.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Soyabean,58000.0,53200.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Kharif,Sugarcane,75600.0,6339000.0,521.3,7.0,7.5,5.0,8.5
AHMEDNAGAR,2009,Kharif,Sunflower,7500.0,2500.0,521.3,7.0,7.5,6.0,7.5
AHMEDNAGAR,2009,Kharif,Urad,10700.0,5000.0,521.3,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Gram,102300.0,75700.0,203.9,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Jowar,520500.0,350600.0,203.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2009,Rabi,Linseed,600.0,100.0,203.9,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Maize,11600.0,26000.0,203.9,7.0,7.5,5.8,6.8
AHMEDNAGAR,2009,Rabi,Rapeseed &Mustard,100.0,50.0,203.9,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Safflower,11100.0,8500.0,203.9,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Sesamum,100.0,23.0,203.9,7.0,7.5,,
AHMEDNAGAR,2009,Rabi,Sunflower,2200.0,1200.0,203.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2009,Rabi,Wheat,129500.0,216000.0,203.9,7.0,7.5,5.5,6.5
AHMEDNAGAR,2010,Kharif,Arhar/Tur,17600.0,11300.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Bajra,196000.0,186800.0,766.9,7.0,7.5,6.0,7.0
AHMEDNAGAR,2010,Kharif,Cotton,101700.0,221100.0,766.9,7.0,7.5,5.8,8.0
AHMEDNAGAR,2010,Kharif,Groundnut,4200.0,3600.0,766.9,7.0,7.5,5.5,7.0
AHMEDNAGAR,2010,Kharif,Maize,45300.0,139500.0,766.9,7.0,7.5,5.8,6.8
AHMEDNAGAR,2010,Kharif,Moong(Green Gram),15900.0,12400.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Niger seed,1900.0,700.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Ragi,2800.0,2600.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Rice,7500.0,7000.0,766.9,7.0,7.5,5.5,7.0
AHMEDNAGAR,2010,Kharif,Sesamum,500.0,100.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Soyabean,50700.0,90800.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Kharif,Sugarcane,126000.0,11516400.0,766.9,7.0,7.5,5.0,8.5
AHMEDNAGAR,2010,Kharif,Sunflower,8200.0,3400.0,766.9,7.0,7.5,6.0,7.5
AHMEDNAGAR,2010,Kharif,Urad,12100.0,7700.0,766.9,7.0,7.5,,
AHMEDNAGAR,2010,Rabi,Gram,115200.0,94000.0,135.3,7.0,7.5,,
AHMEDNAGAR,2010,Rabi,Jowar,540000.0,318000.0,135.3,7.0,7.5,6.0,7.5
AHMEDNAGAR,2010,Rabi,Linseed,500.0,100.0,135.3,7.0,7.5,,
AHMEDNAGAR,2010,Rabi,Maize,13200.0,26300.0,135.3,7.0,7.5,5.8,6.8
AHMEDNAGAR,2010,Rabi,Safflower,8800.0,5300.0,135.3,7.0,7.5,,
AHMEDNAGAR,2010,Rabi,Sesamum,100.0,30.0,135.3,7.0,7.5,,
AHMEDNAGAR,2010,Rabi,Sunflower,1000.0,800.0,135.3,7.0,7.5,6.0,7.5
AHMEDNAGAR,2010,Rabi,Wheat,133700.0,248900.0,135.3,7.0,7.5,5.5,6.5
AKOLA,2004,Kharif,Arhar/Tur,52200.0,27500.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Kharif,Bajra,1400.0,600.0,421.80000000000007,7.0,7.5,6.0,7.0
AKOLA,2004,Kharif,Jowar,82200.0,108300.0,421.80000000000007,7.0,7.5,6.0,7.5
AKOLA,2004,Kharif,Maize,600.0,700.0,421.80000000000007,7.0,7.5,5.8,6.8
AKOLA,2004,Kharif,Moong(Green Gram),62000.0,13500.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Kharif,Other Cereals & Millets,200.0,100.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Kharif,Other Kharif pulses,400.0,100.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Kharif,Sesamum,2900.0,400.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Kharif,Sunflower,1500.0,600.0,421.80000000000007,7.0,7.5,6.0,7.5
AKOLA,2004,Kharif,Urad,16100.0,3500.0,421.80000000000007,7.0,7.5,,
AKOLA,2004,Rabi,Gram,24000.0,9100.0,123.6,7.0,7.5,,
AKOLA,2004,Rabi,Jowar,100.0,100.0,123.6,7.0,7.5,6.0,7.5
AKOLA,2004,Rabi,Maize,100.0,100.0,123.6,7.0,7.5,5.8,6.8
AKOLA,2004,Rabi,Rapeseed &Mustard,100.0,0.0,123.6,7.0,7.5,,
AKOLA,2004,Rabi,Safflower,1900.0,700.0,123.6,7.0,7.5,,
AKOLA,2004,Rabi,Soyabean,50300.0,31000.0,123.6,7.0,7.5,,
AKOLA,2004,Rabi,Sunflower,1100.0,600.0,123.6,7.0,7.5,6.0,7.5
AKOLA,2004,Rabi,Wheat,3400.0,3800.0,123.6,7.0,7.5,5.5,6.5
AKOLA,2004,Summer,Groundnut,500.0,300.0,44.8,7.0,7.5,5.5,7.0
AKOLA,2004,Summer,Sunflower,400.0,300.0,44.8,7.0,7.5,6.0,7.5
AKOLA,2004,Whole Year,Cotton,207600.0,137800.0,513.4,7.0,7.5,5.8,8.0
AKOLA,2004,Whole Year,Sugarcane,500.0,19200.0,513.4,7.0,7.5,5.0,8.5
AKOLA,2005,Kharif,Arhar/Tur,56500.0,41000.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Kharif,Bajra,1400.0,700.0,811.9999999999999,7.0,7.5,6.0,7.0
AKOLA,2005,Kharif,Castor seed,100.0,100.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Kharif,Cotton,204400.0,141400.0,811.9999999999999,7.0,7.5,5.8,8.0
AKOLA,2005,Kharif,Groundnut,100.0,100.0,811.9999999999999,7.0,7.5,5.5,7.0
AKOLA,2005,Kharif,Moong(Green Gram),50100.0,7400.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Kharif,Sesamum,5000.0,800.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Kharif,Soyabean,54100.0,38900.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Kharif,Sugarcane,300.0,20900.0,811.9999999999999,7.0,7.5,5.0,8.5
AKOLA,2005,Kharif,Sunflower,1800.0,1000.0,811.9999999999999,7.0,7.5,6.0,7.5
AKOLA,2005,Kharif,Urad,15000.0,2400.0,811.9999999999999,7.0,7.5,,
AKOLA,2005,Rabi,Gram,42000.0,38300.0,194.1,7.0,7.5,,
AKOLA,2005,Rabi,Rapeseed &Mustard,200.0,100.0,194.1,7.0,7.5,,
